2025-06-29 13:18:22,887 DEBUG    root            Loaded Command Group: ['gcloud', 'services']
2025-06-29 13:18:23,041 DEBUG    root            Loaded Command Group: ['gcloud', 'services', 'list']
2025-06-29 13:18:23,044 DEBUG    root            Running [gcloud.services.list] with arguments: [--enabled: "True", --project: "operating-realm-460905-q8"]
2025-06-29 13:18:23,246 DEBUG    root            Chosen display Format:
          table(
            config.name:label=NAME:sort=1,
            config.title
          )
        
2025-06-29 13:18:23,247 INFO     root            Display format: "
          table(
            config.name:label=NAME:sort=1,
            config.title
          )
        "
2025-06-29 13:18:23,251 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): serviceusage.googleapis.com:443
2025-06-29 13:18:23,588 DEBUG    urllib3.connectionpool https://serviceusage.googleapis.com:443 "GET /v1/projects/operating-realm-460905-q8/services?alt=json&filter=state%3AENABLED&pageSize=200 HTTP/11" 200 None
2025-06-29 13:18:23,712 INFO     ___FILE_ONLY___ NAME
2025-06-29 13:18:23,712 INFO     ___FILE_ONLY___                                  
2025-06-29 13:18:23,712 INFO     ___FILE_ONLY___ TITLE
2025-06-29 13:18:23,712 INFO     ___FILE_ONLY___ 

2025-06-29 13:18:23,712 INFO     ___FILE_ONLY___ aiplatform.googleapis.com
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___             
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ Vertex AI API
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ 

2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ analyticshub.googleapis.com
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___           
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ Analytics Hub API
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ 

2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ artifactregistry.googleapis.com
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___       
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ Artifact Registry API
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ 

2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ bigquery.googleapis.com
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___               
2025-06-29 13:18:23,713 INFO     ___FILE_ONLY___ BigQuery API
2025-06-29 13:18:23,714 INFO     ___FILE_ONLY___ 

2025-06-29 13:18:23,714 INFO     ___FILE_ONLY___ bigqueryconnection.googleapis.com
2025-06-29 13:18:23,714 INFO     ___FILE_ONLY___     
2025-06-29 13:18:23,714 INFO     ___FILE_ONLY___ BigQuery Connection API
2025-06-29 13:18:23,714 INFO     ___FILE_ONLY___ 

2025-06-29 13:18:23,714 INFO     ___FILE_ONLY___ bigquerydatapolicy.googleapis.com
